,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
394,STR,Aston Martin,20.0,15.0,+1 Lap,2.7449999999999903,18.0,2022,Mexico City,84.61500000000001,-0.02549999999999386,-0.05099999999999487
395,MSC,Haas F1 Team,15.0,16.0,+1 Lap,2.6439999999999912,16.0,2022,Mexico City,85.647,0.23749999999999716,0.07796212121211905
396,MAG,Haas F1 Team,19.0,17.0,+1 Lap,2.0579999999999927,15.0,2022,Mexico City,85.40950000000001,-0.23749999999999716,0.013393939393942862
397,LAT,Williams,18.0,18.0,+2 Laps,3.391999999999996,20.0,2022,Mexico City,85.354,0.3064999999999998,0.006708333333334836
398,ALO,Alpine,9.0,19.0,Engine,1.1639999999999873,9.0,2022,Mexico City,84.714,1.3349999999999937,0.075071428571427
399,TSU,AlphaTauri,13.0,20.0,Collision damage,1.813999999999993,13.0,2022,Mexico City,83.797,-0.6769999999999925,2.3950499999999986
400,RUS,Mercedes,1.0,1.0,Finished,1.1089999999999947,3.0,2022,São Paulo,76.567,0.1844999999999999,0.12583787242169786
401,HAM,Mercedes,2.0,2.0,Finished,1.6610000000000014,8.0,2022,São Paulo,76.3825,-0.1844999999999999,0.09351153228339541
402,SAI,Ferrari,7.0,3.0,Finished,1.4069999999999965,5.0,2022,São Paulo,76.596,-0.1490000000000009,0.09154635108481449
403,LEC,Ferrari,5.0,4.0,Finished,0.0,10.0,2022,São Paulo,76.745,0.1490000000000009,0.035788264055254475
404,ALO,Alpine,17.0,5.0,Finished,1.554000000000002,7.0,2022,São Paulo,77.304,0.8520000000000039,0.10500774999999678
405,VER,Red Bull Racing,3.0,6.0,Finished,0.9269999999999925,2.0,2022,São Paulo,76.913,0.394999999999996,0.15359546197509646
406,PER,Red Bull Racing,4.0,7.0,Finished,4.650999999999996,9.0,2022,São Paulo,76.518,-0.394999999999996,0.07378235647601303
407,OCO,Alpine,16.0,8.0,Finished,1.4749999999999943,6.0,2022,São Paulo,76.452,-0.8520000000000039,0.14910065934066066
408,BOT,Alfa Romeo,14.0,9.0,Finished,4.536000000000001,18.0,2022,São Paulo,77.191,-0.07650000000001,0.27401981981982104
409,STR,Aston Martin,15.0,10.0,Finished,1.259999999999991,15.0,2022,São Paulo,77.849,0.2155000000000058,0.9169761309807108
410,VET,Aston Martin,9.0,11.0,Finished,0.7279999999999944,13.0,2022,São Paulo,77.6335,-0.2155000000000058,0.590173911535664
411,ZHO,Alfa Romeo,13.0,12.0,Finished,4.247,17.0,2022,São Paulo,77.26750000000001,0.07650000000001,0.12851982201366374
412,MSC,Haas F1 Team,12.0,13.0,Finished,5.411000000000001,20.0,2022,São Paulo,78.27250000000001,1.045500000000004,0.35381362580169445
413,GAS,AlphaTauri,10.0,14.0,Finished,0.7249999999999943,12.0,2022,São Paulo,77.042,-0.5229999999999961,0.13279598302658105
414,ALB,Williams,19.0,15.0,Finished,0.6809999999999974,11.0,2022,São Paulo,,,
415,LAT,Williams,18.0,16.0,Finished,4.144999999999996,16.0,2022,São Paulo,78.762,0.6159999999999997,-0.03963132878151254
416,TSU,AlphaTauri,0.0,17.0,+1 Lap,5.313999999999993,19.0,2022,São Paulo,77.565,0.5229999999999961,0.0999626878888694
417,NOR,McLaren,6.0,18.0,Gearbox,1.3130000000000024,4.0,2022,São Paulo,77.4785,0.06099999999999284,0.033928909952606716
418,MAG,Haas F1 Team,8.0,19.0,Collision,0.7240000000000038,1.0,2022,São Paulo,77.227,-1.045500000000004,0.6858536866935946
419,RIC,McLaren,11.0,20.0,Collision,1.1899999999999977,14.0,2022,São Paulo,77.4175,-0.06099999999999284,1.1254962121212104
420,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2022,Yas Island,90.435,-0.3329999999999984,0.3241428571428558
421,LEC,Ferrari,3.0,2.0,Finished,0.2680000000000007,3.0,2022,Yas Island,91.381,0.23050000000000637,1.844889830508474
422,PER,Red Bull Racing,2.0,3.0,Finished,0.22800000000000864,2.0,2022,Yas Island,90.768,0.3329999999999984,3.361316666666668
423,SAI,Ferrari,4.0,4.0,Finished,0.41800000000000637,4.0,2022,Yas Island,91.1505,-0.23050000000000637,2.7789392857142854
424,RUS,Mercedes,6.0,5.0,Finished,0.6869999999999976,6.0,2022,Yas Island,91.182,-0.23049999999999216,1.5390294117647123
425,NOR,McLaren,7.0,6.0,Finished,0.9450000000000074,7.0,2022,Yas Island,91.5695,-21.33149999999999,0.4310025974026091
426,OCO,Alpine,8.0,7.0,Finished,1.0060000000000002,8.0,2022,Yas Island,91.75,0.22749999999999204,0.895646825396828
427,STR,Aston Martin,14.0,8.0,Finished,1.5349999999999966,14.0,2022,Yas Island,92.481,0.06099999999999284,-0.2702130647130608
428,RIC,McLaren,13.0,9.0,Finished,1.2210000000000036,10.0,2022,Yas Island,112.901,21.33149999999999,
429,VET,Aston Martin,9.0,10.0,Finished,1.1370000000000005,9.0,2022,Yas Island,92.42,-0.06099999999999284,-0.29302812499999586
430,TSU,AlphaTauri,11.0,11.0,Finished,1.394999999999996,12.0,2022,Yas Island,91.8605,0.3575000000000017,0.730201785714286
431,ZHO,Alfa Romeo,15.0,12.0,+1 Lap,1.5840000000000032,15.0,2022,Yas Island,93.066,0.42900000000000205,0.8875523563393157
432,ALB,Williams,19.0,13.0,+1 Lap,2.2040000000000077,19.0,2022,Yas Island,92.226,-0.5204999999999984,1.5758123376623432
433,GAS,AlphaTauri,17.0,14.0,+1 Lap,2.0349999999999966,17.0,2022,Yas Island,91.503,-0.3575000000000017,2.0458218487394895
434,BOT,Alfa Romeo,18.0,15.0,+1 Lap,2.067999999999998,18.0,2022,Yas Island,92.637,-0.42900000000000205,2.9121850000000022
435,MSC,Haas F1 Team,12.0,16.0,+1 Lap,1.4009999999999962,13.0,2022,Yas Island,92.868,-0.2435000000000116,0.1276420953723297
436,MAG,Haas F1 Team,16.0,17.0,+1 Lap,2.010000000000005,16.0,2022,Yas Island,93.1115,0.2435000000000116,0.013953123067407449
437,HAM,Mercedes,5.0,18.0,Hydraulics,0.6839999999999975,5.0,2022,Yas Island,91.4125,0.23049999999999216,3.411842857142855
438,LAT,Williams,20.0,19.0,Collision damage,2.230000000000004,20.0,2022,Yas Island,92.7465,0.5204999999999984,2.1530000000000062
439,ALO,Alpine,10.0,20.0,Water leak,1.2720000000000056,11.0,2022,Yas Island,91.52250000000001,-0.22749999999999204,-0.3029709956709946
440,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2023,Sakhir,97.179,-0.44899999999999807,0.15148601398601444
441,PER,Red Bull Racing,2.0,2.0,Finished,0.13800000000000523,2.0,2023,Sakhir,97.628,0.44899999999999807,0.14800659340659386
442,ALO,Aston Martin,5.0,3.0,Finished,0.6280000000000001,5.0,2023,Sakhir,97.479,-0.953000000000003,3.0951000000000004
443,SAI,Ferrari,4.0,4.0,Finished,0.44599999999999795,4.0,2023,Sakhir,98.3,0.5545000000000044,1.3486657142857148
444,HAM,Mercedes,7.0,5.0,Finished,0.6760000000000019,7.0,2023,Sakhir,98.38499999999999,0.17049999999998988,0.09466363636363674
445,STR,Aston Martin,8.0,6.0,Finished,1.1280000000000001,8.0,2023,Sakhir,98.432,0.953000000000003,1.398586666666666
446,RUS,Mercedes,6.0,7.0,Finished,0.632000000000005,6.0,2023,Sakhir,98.2145,-0.17049999999998988,0.17896666666666763
447,BOT,Alfa Romeo,12.0,8.0,Finished,1.7349999999999994,12.0,2023,Sakhir,98.519,-0.744499999999988,1.8192607142857216
448,GAS,Alpine,20.0,9.0,Finished,2.472999999999999,20.0,2023,Sakhir,98.126,-0.35199999999998965,1.0159909090909056
449,ALB,Williams,15.0,10.0,Finished,1.7530000000000001,15.0,2023,Sakhir,97.764,-0.6450000000000102,1.3995384615384618
450,TSU,AlphaTauri,14.0,11.0,Finished,2.8020000000000067,14.0,2023,Sakhir,98.922,0.12350000000000705,-0.12667293233082755
451,SAR,Williams,16.0,12.0,Lapped,1.9440000000000026,16.0,2023,Sakhir,98.409,0.6450000000000102,1.6965419580419578
452,MAG,Haas F1 Team,17.0,13.0,Lapped,2.1839999999999975,17.0,2023,Sakhir,100.327,1.5054999999999978,2.8777000000000053
453,DEV,AlphaTauri,19.0,14.0,Lapped,2.4129999999999967,19.0,2023,Sakhir,98.79849999999999,-0.12350000000000705,-0.7534016806722675
454,HUL,Haas F1 Team,10.0,15.0,Lapped,1.100999999999999,10.0,2023,Sakhir,98.8215,-1.5054999999999978,0.9516153846153868
455,ZHO,Alfa Romeo,13.0,16.0,Lapped,1.7650000000000006,13.0,2023,Sakhir,99.2635,0.744499999999988,2.563833333333337
456,NOR,McLaren,11.0,17.0,Lapped,1.6730000000000018,11.0,2023,Sakhir,98.078,-0.6809999999999974,0.09930909090909362
457,OCO,Alpine,9.0,18.0,Retired,1.2759999999999962,9.0,2023,Sakhir,98.478,0.35199999999998965,0.3163736842105286
458,LEC,Ferrari,3.0,19.0,Retired,0.2920000000000016,3.0,2023,Sakhir,97.74549999999999,-0.5545000000000044,-0.13570833333333301
459,PIA,McLaren,18.0,20.0,Retired,2.3930000000000007,18.0,2023,Sakhir,98.759,0.6809999999999974,2.638600000000003
460,PER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2023,Jeddah,95.1695,-0.031999999999996476,-0.055069930069928864
461,VER,Red Bull Racing,15.0,2.0,Finished,21.688000000000002,15.0,2023,Jeddah,95.2015,0.031999999999996476,-1.2504779064779077
462,ALO,Aston Martin,2.0,3.0,Finished,0.4650000000000034,3.0,2023,Jeddah,95.247,-0.33100000000000307,0.1921748251748235
463,RUS,Mercedes,3.0,4.0,Finished,0.5919999999999987,4.0,2023,Jeddah,95.4795,0.07750000000000057,-1.5492214526214556
464,HAM,Mercedes,7.0,5.0,Finished,0.9579999999999984,8.0,2023,Jeddah,95.402,-0.07750000000000057,-0.0270000000000069
465,SAI,Ferrari,4.0,6.0,Finished,0.6659999999999968,5.0,2023,Jeddah,95.214,-0.24549999999999272,3.2780272727272775
466,LEC,Ferrari,12.0,7.0,Finished,0.15500000000000114,2.0,2023,Jeddah,95.45949999999999,0.24549999999999272,-3.0575881918081924
467,OCO,Alpine,6.0,8.0,Finished,0.8130000000000024,7.0,2023,Jeddah,95.327,-0.0040000000000048885,1.6719676236044672
468,GAS,Alpine,9.0,9.0,Finished,1.0919999999999987,10.0,2023,Jeddah,95.331,0.0040000000000048885,-0.9905687055476536
469,MAG,Haas F1 Team,13.0,10.0,Finished,1.3689999999999998,13.0,2023,Jeddah,97.3375,0.5685000000000002,-1.5138600000000015
470,TSU,AlphaTauri,16.0,11.0,Finished,1.6739999999999924,16.0,2023,Jeddah,96.169,0.19149999999999068,-0.36792902711323633
471,HUL,Haas F1 Team,10.0,12.0,Finished,1.1859999999999928,11.0,2023,Jeddah,96.769,-0.5685000000000002,2.4521866666666634
472,ZHO,Alfa Romeo,11.0,13.0,Finished,1.195999999999998,12.0,2023,Jeddah,96.201,-1.5640000000000072,3.06733476190476
473,DEV,AlphaTauri,18.0,14.0,Finished,1.9789999999999992,18.0,2023,Jeddah,95.9775,-0.19149999999999068,-1.2584662162162166
474,PIA,McLaren,8.0,15.0,Finished,0.9779999999999944,9.0,2023,Jeddah,95.51,-0.2609999999999957,1.6079999999999959
475,SAR,Williams,20.0,16.0,Finished,40.24499999999999,20.0,2023,Jeddah,96.105,0.27000000000001023,2.0655925039872454
476,NOR,McLaren,19.0,17.0,Finished,2.182000000000002,19.0,2023,Jeddah,95.771,0.2609999999999957,0.05325714285714408
477,BOT,Alfa Romeo,14.0,18.0,Lapped,1.4030000000000058,14.0,2023,Jeddah,97.765,1.5640000000000072,-0.3593587209302296
478,ALB,Williams,17.0,19.0,Retired,1.7289999999999992,17.0,2023,Jeddah,95.835,-0.27000000000001023,2.1873346153846165
479,STR,Aston Martin,5.0,20.0,Retired,0.6799999999999926,6.0,2023,Jeddah,95.578,0.33100000000000307,1.151790863522449
480,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2023,Melbourne,97.512,-1.0844999999999914,-1.89559999999998
481,HAM,Mercedes,3.0,2.0,Finished,0.3719999999999999,3.0,2023,Melbourne,85.571,-1.8300000000000125,0.3110357142857177
482,ALO,Aston Martin,4.0,3.0,Finished,0.4069999999999965,4.0,2023,Melbourne,80.427,-7.018500000000003,
483,STR,Aston Martin,6.0,4.0,Finished,0.5760000000000076,6.0,2023,Melbourne,87.44550000000001,7.018500000000003,0.4880999999999905
484,PER,Red Bull Racing,20.0,5.0,Finished,,20.0,2023,Melbourne,98.59649999999999,1.0844999999999914,2.9255999999999993
485,NOR,McLaren,13.0,6.0,Finished,1.3870000000000005,13.0,2023,Melbourne,93.398,0.26599999999999113,-0.253999999999988
486,HUL,Haas F1 Team,10.0,7.0,Finished,1.0030000000000001,10.0,2023,Melbourne,91.66999999999999,-1.7755000000000223,-1.730311111111104
487,PIA,McLaren,16.0,8.0,Finished,1.7849999999999966,16.0,2023,Melbourne,93.132,-0.26599999999999113,0.838421052631581
488,ZHO,Alfa Romeo,17.0,9.0,Finished,1.808000000000007,17.0,2023,Melbourne,92.873,0.2510000000000048,-0.48973838383837925
489,TSU,AlphaTauri,12.0,10.0,Finished,1.3670000000000044,12.0,2023,Melbourne,91.819,7.816500000000005,0.8041472527472526
490,BOT,Alfa Romeo,19.0,11.0,Finished,1.9819999999999993,19.0,2023,Melbourne,92.622,-0.2510000000000048,-0.14428571428570777
491,SAI,Ferrari,5.0,12.0,Finished,0.5379999999999967,5.0,2023,Melbourne,94.073,13.934999999999988,1.9451785714285708
492,GAS,Alpine,9.0,13.0,Retired,0.9429999999999978,9.0,2023,Melbourne,80.98,-6.393000000000001,-0.4358999999999885
493,OCO,Alpine,11.0,14.0,Retired,1.0360000000000014,11.0,2023,Melbourne,87.373,6.393000000000001,1.1531714285714292
494,DEV,AlphaTauri,15.0,15.0,Retired,1.6029999999999944,15.0,2023,Melbourne,84.0025,-7.816500000000005,1.7474285714285716
495,SAR,Williams,18.0,16.0,Retired,1.8250000000000028,18.0,2023,Melbourne,,,
496,MAG,Haas F1 Team,14.0,17.0,Retired,1.3970000000000056,14.0,2023,Melbourne,93.44550000000001,1.7755000000000223,0.5909404761904741
497,RUS,Mercedes,2.0,18.0,Retired,0.2360000000000042,2.0,2023,Melbourne,87.40100000000001,1.8300000000000125,-0.70458181818182
498,ALB,Williams,8.0,19.0,Retired,0.8769999999999953,8.0,2023,Melbourne,91.95,,-0.5998846153846159
499,LEC,Ferrari,7.0,20.0,Retired,0.6370000000000005,7.0,2023,Melbourne,80.138,-13.934999999999988,0.7615000000000107
500,PER,Red Bull Racing,3.0,1.0,Finished,0.2920000000000016,3.0,2023,Baku,,,
501,VER,Red Bull Racing,2.0,2.0,Finished,0.1880000000000024,2.0,2023,Baku,,,
502,LEC,Ferrari,1.0,3.0,Finished,0.0,1.0,2023,Baku,,,
503,ALO,Aston Martin,6.0,4.0,Finished,1.0499999999999972,6.0,2023,Baku,,,
504,SAI,Ferrari,4.0,5.0,Finished,0.8130000000000024,4.0,2023,Baku,,,
505,HAM,Mercedes,5.0,6.0,Finished,0.9740000000000038,5.0,2023,Baku,,,
506,STR,Aston Martin,9.0,7.0,Finished,1.4080000000000013,9.0,2023,Baku,,,
507,RUS,Mercedes,11.0,8.0,Finished,1.4509999999999934,11.0,2023,Baku,,,
508,NOR,McLaren,7.0,9.0,Finished,1.078000000000003,7.0,2023,Baku,,,
509,TSU,AlphaTauri,8.0,10.0,Finished,1.3780000000000001,8.0,2023,Baku,,,
510,PIA,McLaren,10.0,11.0,Finished,1.4080000000000013,10.0,2023,Baku,,,
511,ALB,Williams,12.0,12.0,Finished,1.6149999999999949,13.0,2023,Baku,,,
512,MAG,Haas F1 Team,16.0,13.0,Finished,3.2139999999999986,18.0,2023,Baku,,,
513,GAS,Alpine,17.0,14.0,Finished,4.6499999999999915,19.0,2023,Baku,,,
514,OCO,Alpine,19.0,15.0,Finished,1.5949999999999989,12.0,2023,Baku,,,
515,SAR,Williams,14.0,16.0,Finished,2.191999999999993,15.0,2023,Baku,,,
516,HUL,Haas F1 Team,20.0,17.0,Lapped,2.5519999999999925,17.0,2023,Baku,,,
517,BOT,Alfa Romeo,13.0,18.0,Lapped,2.0559999999999974,14.0,2023,Baku,,,
518,ZHO,Alfa Romeo,15.0,19.0,Retired,2.438999999999993,16.0,2023,Baku,,,
519,DEV,AlphaTauri,18.0,20.0,Retired,15.078999999999994,20.0,2023,Baku,,,
520,VER,Red Bull Racing,9.0,1.0,Finished,0.0,9.0,2023,Miami,91.947,-1.0919999999999845,
521,PER,Red Bull Racing,1.0,2.0,Finished,0.027000000000001023,1.0,2023,Miami,93.03899999999999,1.0919999999999845,3.1692674418604665
522,ALO,Aston Martin,2.0,3.0,Finished,0.38800000000000523,2.0,2023,Miami,92.767,-0.3920000000000101,-0.947115493400372
523,RUS,Mercedes,6.0,4.0,Finished,0.9900000000000091,6.0,2023,Miami,93.737,-9.87100000000001,4.932100000000004
524,SAI,Ferrari,3.0,5.0,Finished,0.5350000000000108,3.0,2023,Miami,93.267,-0.6700000000000159,-0.8286180052120367
525,HAM,Mercedes,13.0,6.0,Finished,1.1610000000000014,13.0,2023,Miami,103.608,9.87100000000001,1.5203975903614415
526,LEC,Ferrari,7.0,7.0,Finished,1.0470000000000113,7.0,2023,Miami,93.93700000000001,0.6700000000000159,-0.22229999999999484
527,GAS,Alpine,5.0,8.0,Finished,0.9720000000000084,5.0,2023,Miami,94.343,0.49850000000000705,-1.2714142857142818
528,OCO,Alpine,8.0,9.0,Finished,1.1210000000000093,8.0,2023,Miami,93.8445,-0.49850000000000705,-4.081137888198753
529,MAG,Haas F1 Team,4.0,10.0,Finished,0.953000000000003,4.0,2023,Miami,92.991,-0.7055000000000007,-2.374099999999989
530,TSU,AlphaTauri,17.0,11.0,Finished,1.615000000000009,17.0,2023,Miami,93.871,-10.046000000000006,-0.9396869565217318
531,STR,Aston Martin,18.0,12.0,Finished,1.6620000000000061,18.0,2023,Miami,93.159,0.3920000000000101,1.062683229813653
532,BOT,Alfa Romeo,10.0,13.0,Finished,0.75,10.0,2023,Miami,93.71,-0.6610000000000014,-1.7684970398970385
533,ALB,Williams,11.0,14.0,Finished,0.9810000000000088,11.0,2023,Miami,93.6445,0.1634999999999991,0.08290000000000332
534,HUL,Haas F1 Team,12.0,15.0,Finished,1.0890000000000128,12.0,2023,Miami,93.6965,0.7055000000000007,0.11950000000001067
535,ZHO,Alfa Romeo,14.0,16.0,Finished,1.277000000000001,14.0,2023,Miami,94.371,0.6610000000000014,3.320452238805968
536,NOR,McLaren,16.0,17.0,Finished,1.5800000000000125,16.0,2023,Miami,93.84700000000001,0.16800000000000637,
537,DEV,AlphaTauri,15.0,18.0,Finished,1.581000000000003,15.0,2023,Miami,103.917,10.046000000000006,-8.3757
538,PIA,McLaren,19.0,19.0,Lapped,1.6700000000000017,19.0,2023,Miami,93.679,-0.16800000000000637,
539,SAR,Williams,20.0,20.0,Lapped,1.7630000000000052,20.0,2023,Miami,93.481,-0.1634999999999991,
540,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2023,Monaco,76.424,-0.5699999999999932,0.010573084886129567
541,ALO,Aston Martin,2.0,2.0,Finished,0.08400000000000318,2.0,2023,Monaco,77.167,0.19599999999999795,0.009612287505234907
542,OCO,Alpine,3.0,3.0,Finished,0.1880000000000024,4.0,2023,Monaco,76.37299999999999,-0.5390000000000157,0.6878739354907412
543,HAM,Mercedes,5.0,4.0,Finished,0.35999999999999943,6.0,2023,Monaco,79.881,0.9814999999999969,1.0637156462585065
544,RUS,Mercedes,8.0,5.0,Finished,0.5990000000000038,8.0,2023,Monaco,78.8995,-0.9814999999999969,0.7512563311688325
545,LEC,Ferrari,6.0,6.0,Finished,0.10600000000000875,3.0,2023,Monaco,76.875,-6.721499999999992,0.7881785714285743
546,GAS,Alpine,7.0,7.0,Finished,0.568000000000012,7.0,2023,Monaco,76.912,0.5390000000000157,-0.3996746031746028
547,SAI,Ferrari,4.0,8.0,Finished,0.26500000000000057,5.0,2023,Monaco,83.59649999999999,6.721499999999992,1.249939393939397
548,NOR,McLaren,10.0,9.0,Lapped,0.88900000000001,10.0,2023,Monaco,83.3665,6.533000000000001,0.7823750000000076
549,PIA,McLaren,11.0,10.0,Lapped,1.0300000000000011,11.0,2023,Monaco,76.8335,-6.533000000000001,1.2736250000000022
550,BOT,Alfa Romeo,15.0,11.0,Lapped,1.2600000000000051,15.0,2023,Monaco,76.723,0.21699999999999875,0.14978571428571633
551,DEV,AlphaTauri,12.0,12.0,Lapped,1.0630000000000024,12.0,2023,Monaco,76.8325,-11.483500000000006,0.10548907563025249
552,ZHO,Alfa Romeo,19.0,13.0,Lapped,2.1580000000000013,19.0,2023,Monaco,76.506,-0.21699999999999875,0.4891458333333339
553,ALB,Williams,13.0,14.0,Lapped,1.1620000000000061,13.0,2023,Monaco,90.11449999999999,11.735500000000002,2.82679999999999
554,TSU,AlphaTauri,9.0,15.0,Lapped,0.7169999999999987,9.0,2023,Monaco,88.316,11.483500000000006,0.7780260504201674
555,PER,Red Bull Racing,20.0,16.0,Lapped,2.4849999999999994,20.0,2023,Monaco,76.994,0.5699999999999932,0.9853957142857157
556,HUL,Haas F1 Team,18.0,17.0,Lapped,1.9140000000000015,18.0,2023,Monaco,77.149,-0.26500000000000057,0.7701408730158761
557,SAR,Williams,16.0,18.0,Lapped,1.7480000000000047,16.0,2023,Monaco,78.37899999999999,-11.735500000000002,0.28349708419599634
558,MAG,Haas F1 Team,17.0,19.0,Retired,1.9050000000000011,17.0,2023,Monaco,77.414,0.26500000000000057,-0.44128344671201264
559,STR,Aston Martin,14.0,20.0,Retired,1.2580000000000098,14.0,2023,Monaco,76.971,-0.19599999999999795,2.129484126984131
560,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2023,Barcelona,79.583,-1.2290000000000134,0.009408333333332927
561,HAM,Mercedes,4.0,2.0,Finished,0.5459999999999923,5.0,2023,Barcelona,80.403,-0.1559999999999917,3.2914935064935094
562,RUS,Mercedes,12.0,3.0,Finished,1.1749999999999972,12.0,2023,Barcelona,80.559,0.1559999999999917,-0.0023435294117661876
563,PER,Red Bull Racing,11.0,4.0,Finished,1.0619999999999976,11.0,2023,Barcelona,80.81200000000001,1.2290000000000134,-0.019733333333333877
564,SAI,Ferrari,2.0,5.0,Finished,0.4619999999999891,2.0,2023,Barcelona,80.201,0.014999999999986358,1.6541230576441086
565,STR,Aston Martin,5.0,6.0,Finished,0.7219999999999942,6.0,2023,Barcelona,80.391,0.542500000000004,0.32787615283268146
566,ALO,Aston Martin,8.0,7.0,Finished,1.2349999999999994,9.0,2023,Barcelona,79.8485,-0.542500000000004,2.067306250000007
567,OCO,Alpine,6.0,8.0,Finished,0.8109999999999928,7.0,2023,Barcelona,80.8495,0.31150000000000944,0.74684910714286
568,ZHO,Alfa Romeo,13.0,9.0,Finished,1.2489999999999952,13.0,2023,Barcelona,80.80699999999999,0.367999999999995,1.7343406250000024
569,GAS,Alpine,10.0,10.0,Finished,0.5439999999999969,4.0,2023,Barcelona,80.538,-0.31150000000000944,1.235359109311745
570,LEC,Ferrari,19.0,11.0,Finished,1.806999999999988,19.0,2023,Barcelona,80.186,-0.014999999999986358,0.8931481203007529
571,TSU,AlphaTauri,15.0,12.0,Finished,2.2049999999999983,15.0,2023,Barcelona,81.298,0.3719999999999999,0.2916879120879171
572,PIA,McLaren,9.0,13.0,Lapped,1.4099999999999966,10.0,2023,Barcelona,80.851,0.1634999999999991,2.8350415584415622
573,DEV,AlphaTauri,14.0,14.0,Lapped,1.8109999999999928,14.0,2023,Barcelona,80.926,-0.3719999999999999,-0.3343417233560043
574,HUL,Haas F1 Team,7.0,15.0,Lapped,0.9569999999999936,8.0,2023,Barcelona,80.909,-0.1629999999999967,0.11206964285714491
575,ALB,Williams,18.0,16.0,Lapped,1.7909999999999968,18.0,2023,Barcelona,81.3665,0.05849999999999511,3.2393958333333397
576,NOR,McLaren,3.0,17.0,Lapped,0.519999999999996,3.0,2023,Barcelona,80.6875,-0.1634999999999991,-0.20114999999999145
577,MAG,Haas F1 Team,17.0,18.0,Lapped,1.769999999999996,17.0,2023,Barcelona,81.072,0.1629999999999967,0.7064787878787934
578,BOT,Alfa Romeo,16.0,19.0,Lapped,1.7049999999999983,16.0,2023,Barcelona,80.439,-0.367999999999995,1.1461368421052718
579,SAR,Williams,20.0,20.0,Lapped,2.4269999999999925,20.0,2023,Barcelona,81.308,-0.05849999999999511,1.5536714285714308
580,VER,Red Bull Racing,1.0,1.0,Finished,7.13300000000001,1.0,2023,Montréal,77.721,-0.1910000000000025,-0.1595693064182196
581,ALO,Aston Martin,2.0,2.0,Finished,8.561000000000007,3.0,2023,Montréal,77.503,0.24200000000000443,0.22484395604396076
582,HAM,Mercedes,3.0,3.0,Finished,8.902000000000001,4.0,2023,Montréal,78.608,0.008000000000009777,1.1615882591093154
583,LEC,Ferrari,10.0,4.0,Finished,1.8900000000000006,11.0,2023,Montréal,77.609,-0.29000000000000625,0.25707335526316133
584,SAI,Ferrari,11.0,5.0,Finished,10.569000000000003,8.0,2023,Montréal,77.899,0.29000000000000625,-0.10477034244973878
585,PER,Red Bull Racing,12.0,6.0,Finished,2.234000000000009,12.0,2023,Montréal,77.912,0.1910000000000025,-0.19065056717475232
586,ALB,Williams,9.0,7.0,Finished,0.0,10.0,2023,Montréal,77.893,-1.4440000000000026,-0.6989326501035183
587,OCO,Alpine,6.0,8.0,Finished,9.219999999999999,6.0,2023,Montréal,77.671,-0.03999999999999204,-0.6710734265734265
588,STR,Aston Martin,16.0,9.0,Finished,2.7590000000000003,13.0,2023,Montréal,77.261,-0.24200000000000443,2.031061224489795
589,BOT,Alfa Romeo,14.0,10.0,Finished,3.0960000000000036,15.0,2023,Montréal,78.1475,-1.275500000000008,1.1330366976744193
590,PIA,McLaren,8.0,11.0,Finished,12.62400000000001,9.0,2023,Montréal,78.348,0.47750000000000625,-0.1660019138755998
591,GAS,Alpine,15.0,12.0,Finished,4.161000000000001,17.0,2023,Montréal,77.711,0.03999999999999204,0.01893433458433476
592,NOR,McLaren,7.0,13.0,Finished,9.321000000000012,7.0,2023,Montréal,77.87049999999999,-0.47750000000000625,-0.18538498964802932
593,TSU,AlphaTauri,19.0,14.0,Finished,4.021000000000001,16.0,2023,Montréal,77.871,0.42499999999999716,0.5998717391304357
594,HUL,Haas F1 Team,5.0,15.0,Lapped,8.37700000000001,2.0,2023,Montréal,81.207,2.2989999999999924,1.6172857142857122
595,ZHO,Alfa Romeo,20.0,16.0,Lapped,4.617000000000004,20.0,2023,Montréal,79.423,1.275500000000008,-0.03129545454544961
596,MAG,Haas F1 Team,13.0,17.0,Lapped,2.953000000000003,14.0,2023,Montréal,78.908,-2.2989999999999924,0.3715338242513506
597,DEV,AlphaTauri,17.0,18.0,Lapped,4.412000000000006,18.0,2023,Montréal,77.446,-0.42499999999999716,1.2331766666666644
598,RUS,Mercedes,4.0,19.0,Retired,9.168000000000006,5.0,2023,Montréal,78.6,-0.008000000000009777,-0.06577142857142752
599,SAR,Williams,18.0,20.0,Retired,4.612000000000009,19.0,2023,Montréal,79.337,1.4440000000000026,0.08075909040364611
600,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2023,Spielberg,,,
601,LEC,Ferrari,2.0,2.0,Finished,0.04799999999998761,2.0,2023,Spielberg,,,
602,PER,Red Bull Racing,15.0,3.0,Finished,62.297,15.0,2023,Spielberg,,,
603,NOR,McLaren,4.0,4.0,Finished,0.2669999999999959,4.0,2023,Spielberg,,,
