,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate,circuit_length,num_corners,num_drs_zones,avg_speed_kmh,safety_car_rate,track_type,overtaking_ability
27,GAS,AlphaTauri,9.0,8.0,Finished,1.054000000000002,9.0,2022,Jeddah,96.26,-0.4380000000000024,-0.06622582417581838,6174.0,27.0,3.0,252.0,0.25,street,0.65
28,MAG,Haas F1 Team,10.0,9.0,Finished,1.387999999999991,10.0,2022,Jeddah,130.464,33.18899999999999,-0.7467857142857134,6174.0,27.0,3.0,252.0,0.25,street,0.65
29,HAM,Mercedes,15.0,10.0,Finished,2.1430000000000007,16.0,2022,Jeddah,95.852,-0.35999999999999943,0.025933333333333655,6174.0,27.0,3.0,252.0,0.25,street,0.65
30,ZHO,Alfa Romeo,12.0,11.0,Finished,1.6189999999999998,13.0,2022,Jeddah,96.665,2.9055000000000035,-0.043129365079365024,6174.0,27.0,3.0,252.0,0.25,street,0.65
31,HUL,Aston Martin,17.0,12.0,Finished,2.3430000000000035,18.0,2022,Jeddah,96.73849999999999,-1.247000000000014,-0.4659738095238075,6174.0,27.0,3.0,252.0,0.25,street,0.65
32,STR,Aston Martin,13.0,13.0,+1 Lap,2.8089999999999975,15.0,2022,Jeddah,97.9855,1.247000000000014,0.35785714285714354,6174.0,27.0,3.0,252.0,0.25,street,0.65
33,ALB,Williams,16.0,14.0,Collision damage,2.2920000000000016,17.0,2022,Jeddah,95.996,-0.909000000000006,-1.1430568922305693,6174.0,27.0,3.0,252.0,0.25,street,0.65
34,BOT,Alfa Romeo,8.0,15.0,Cooling system,0.9830000000000041,8.0,2022,Jeddah,93.7595,-2.9055000000000035,1.73180000000001,6174.0,27.0,3.0,252.0,0.25,street,0.65
35,ALO,Alpine,7.0,16.0,Water pump,0.9470000000000027,7.0,2022,Jeddah,96.081,-0.42900000000000205,0.9808944444444477,6174.0,27.0,3.0,252.0,0.25,street,0.65
36,RIC,McLaren,14.0,17.0,Gearbox,1.5729999999999933,12.0,2022,Jeddah,96.671,0.14000000000000057,0.17502083333334006,6174.0,27.0,3.0,252.0,0.25,street,0.65
