,Unnamed: 0,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
38,38,STR,Aston Martin,10.0,19.0,Retired,1.1000000000000083,10.0,2024,Jeddah,95.2345,0.2650000000000005,0.5418000000000085
39,39,GAS,Alpine,18.0,20.0,Retired,2.007000000000005,18.0,2024,Jeddah,95.312,-0.3269999999999982,0.830991925465839
40,40,SAI,Ferrari,2.0,1.0,Finished,0.269999999999996,2.0,2024,Melbourne,83.3305,0.3245000000000004,1.0295412492269602
41,41,LEC,Ferrari,4.0,2.0,Finished,0.519999999999996,5.0,2024,Melbourne,83.006,-0.3245000000000004,0.5116485714285709
42,42,NOR,McLaren,3.0,3.0,Finished,0.3999999999999915,4.0,2024,Melbourne,83.265,0.5210000000000008,3.231283333333336
43,43,PIA,McLaren,5.0,4.0,Finished,0.6569999999999965,6.0,2024,Melbourne,82.744,-0.5210000000000008,0.1379510489510496
44,44,PER,Red Bull Racing,6.0,5.0,Finished,0.3589999999999946,3.0,2024,Melbourne,83.1845,-0.3185000000000002,-0.734412210338678
45,45,STR,Aston Martin,9.0,6.0,Finished,1.1569999999999965,9.0,2024,Melbourne,83.1715,-1.0504999999999995,0.057312500000006
46,46,TSU,RB,8.0,7.0,Finished,0.8729999999999905,8.0,2024,Melbourne,84.0,-0.4120000000000061,1.325647240259749
47,47,ALO,Aston Martin,10.0,8.0,Finished,1.6370000000000005,10.0,2024,Melbourne,84.222,1.0504999999999995,-0.0956571428571449
48,48,HUL,Haas F1 Team,16.0,9.0,Finished,2.060999999999993,16.0,2024,Melbourne,84.324,-0.429000000000002,-0.8023939393939349
49,49,MAG,Haas F1 Team,14.0,10.0,Lapped,1.5120000000000005,14.0,2024,Melbourne,84.753,0.429000000000002,0.2735818461538497
50,50,ALB,Williams,12.0,11.0,Lapped,1.2519999999999951,12.0,2024,Melbourne,,,
51,51,RIC,RB,18.0,12.0,Lapped,2.1699999999999875,18.0,2024,Melbourne,84.412,0.4120000000000061,-0.6133978835978806
52,52,GAS,Alpine,17.0,13.0,Lapped,2.066999999999993,17.0,2024,Melbourne,83.985,-0.3029999999999972,0.4263638001638026
53,53,BOT,Kick Sauber,13.0,14.0,Lapped,1.4249999999999972,13.0,2024,Melbourne,84.393,0.0165000000000077,0.6482967032967034
54,54,ZHO,Kick Sauber,19.0,15.0,Lapped,2.272999999999996,19.0,2024,Melbourne,84.3765,-0.0165000000000077,1.289166071428572
55,55,OCO,Alpine,15.0,16.0,Lapped,1.7819999999999965,15.0,2024,Melbourne,84.288,0.3029999999999972,-0.0274199999999983
56,56,RUS,Mercedes,7.0,17.0,Retired,0.8089999999999975,7.0,2024,Melbourne,84.173,-6.920000000000002,3.2927649859944057
57,57,HAM,Mercedes,11.0,18.0,Retired,1.0449999999999875,11.0,2024,Melbourne,91.093,6.920000000000002,-4.271566233766219
58,58,VER,Red Bull Racing,1.0,19.0,Retired,0.0,1.0,2024,Melbourne,83.503,0.3185000000000002,4.826499999999999
