,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
40,PIA,McLaren,5.0,19.0,Did not start,,,,0.4860000000000042,5.0,2026,Shanghai,True
41,NOR,McLaren,6.0,20.0,Did not start,,,,0.5440000000000111,6.0,2026,Shanghai,True
42,BOR,Audi,16.0,21.0,Did not start,,,,1.9010000000000105,16.0,2026,Shanghai,True
43,ALB,Williams,22.0,22.0,Did not start,,,,2.7080000000000126,18.0,2026,Shanghai,True
44,ANT,Mercedes,1.0,1.0,Finished,93.589,-0.5504999999999995,-3.6581196579629833e-05,0.0,1.0,2026,Suzuka,False
45,PIA,McLaren,3.0,2.0,Finished,93.712,-0.41899999999999693,-0.028584353344991337,0.3539999999999992,3.0,2026,Suzuka,False
46,LEC,Ferrari,4.0,3.0,Finished,93.915,-0.7609999999999957,-0.0364255681063125,0.6269999999999953,4.0,2026,Suzuka,False
47,RUS,Mercedes,2.0,4.0,Finished,94.1395,0.5504999999999995,-0.03928581196581315,0.2979999999999876,2.0,2026,Suzuka,False
48,NOR,McLaren,5.0,5.0,Finished,94.131,0.41899999999999693,-0.018749257417483012,0.6310000000000002,5.0,2026,Suzuka,False
49,HAM,Ferrari,6.0,6.0,Finished,94.676,0.7609999999999957,0.02584683760683924,0.7889999999999873,6.0,2026,Suzuka,False
50,GAS,Alpine,7.0,7.0,Finished,94.619,-1.0289999999999964,-0.014403418803416555,0.9129999999999967,7.0,2026,Suzuka,False
51,VER,Red Bull Racing,11.0,8.0,Finished,94.752,-1.0250000000000057,-0.02122290598290361,1.4839999999999947,11.0,2026,Suzuka,False
52,LAW,Racing Bulls,14.0,9.0,Finished,94.9465,-0.4864999999999924,-0.026314188034187024,1.7169999999999987,14.0,2026,Suzuka,False
53,OCO,Haas F1 Team,12.0,10.0,Finished,94.91,-1.8034999999999997,-0.02243931623931792,1.5309999999999917,12.0,2026,Suzuka,False
54,HUL,Audi,13.0,11.0,Finished,95.6665,-0.16049999999999898,-0.07583076923076788,1.6089999999999947,13.0,2026,Suzuka,False
55,HAD,Red Bull Racing,8.0,12.0,Finished,95.777,1.0250000000000057,-0.03840000000000131,1.1999999999999886,8.0,2026,Suzuka,False
56,BOR,Audi,9.0,13.0,Finished,95.827,0.16049999999999898,-0.0510335042735012,1.4959999999999951,9.0,2026,Suzuka,False
57,LIN,Racing Bulls,10.0,14.0,Finished,95.43299999999999,0.4864999999999924,-0.04672503669615583,1.5409999999999968,10.0,2026,Suzuka,False
58,SAI,Williams,16.0,15.0,Finished,96.1275,-0.6435000000000031,-0.04382564102564064,2.2549999999999955,16.0,2026,Suzuka,False
59,COL,Alpine,15.0,16.0,Finished,95.648,1.0289999999999964,-0.0495727432077117,1.8489999999999895,15.0,2026,Suzuka,False
60,PER,Cadillac,19.0,17.0,Finished,96.5925,-0.7764999999999986,-0.028632136752136734,3.4279999999999973,19.0,2026,Suzuka,False
61,ALO,Aston Martin,21.0,18.0,Lapped,97.909,-0.5069999999999908,-0.009306923076923797,3.867999999999995,21.0,2026,Suzuka,False
62,BOT,Cadillac,20.0,19.0,Lapped,97.369,0.7764999999999986,0.05716230769230777,3.5519999999999925,20.0,2026,Suzuka,False
63,ALB,Williams,17.0,20.0,Lapped,96.771,0.6435000000000031,-0.08794607843137552,2.309999999999988,17.0,2026,Suzuka,False
64,STR,Aston Martin,22.0,21.0,Retired,98.416,0.5069999999999908,,4.141999999999996,22.0,2026,Suzuka,True
65,BEA,Haas F1 Team,18.0,22.0,Retired,96.7135,1.8034999999999997,,2.3119999999999976,18.0,2026,Suzuka,True
