,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
44,NOR,McLaren,4.0,5.0,Finished,84.459,0.22100000000000364,-0.07199067264388756,0.835000000000008,4.0,2022,Melbourne,False
45,RIC,McLaren,7.0,6.0,Finished,84.238,-0.22100000000000364,-0.09138260163201953,1.1640000000000015,7.0,2022,Melbourne,False
46,OCO,Alpine,8.0,7.0,Finished,84.507,-0.32550000000000523,-0.07489169908780555,1.193000000000012,8.0,2022,Melbourne,False
47,BOT,Alfa Romeo,12.0,8.0,Finished,84.5995,-0.24549999999999272,-0.11477029871136844,1.5420000000000016,12.0,2022,Melbourne,False
48,GAS,AlphaTauri,11.0,9.0,Finished,84.66,-0.3545000000000016,-0.07608377949266941,1.358000000000004,11.0,2022,Melbourne,False
49,ALB,Williams,20.0,10.0,Finished,84.71,-0.3889999999999958,,2.26700000000001,16.0,2022,Melbourne,False
50,ZHO,Alfa Romeo,14.0,11.0,Finished,84.845,0.24549999999999272,-0.06853254809289919,2.287000000000006,14.0,2022,Melbourne,False
51,STR,Aston Martin,19.0,12.0,Finished,84.966,-1.108000000000004,-0.059416937890936994,,20.0,2022,Melbourne,False
52,MSC,Haas F1 Team,15.0,13.0,+1 Lap,84.5375,-0.522500000000008,-0.02987721839913136,2.5970000000000084,15.0,2022,Melbourne,False
53,MAG,Haas F1 Team,16.0,14.0,+1 Lap,85.06,0.522500000000008,0.07437499999999916,2.38600000000001,17.0,2022,Melbourne,False
54,TSU,AlphaTauri,13.0,15.0,+1 Lap,85.0145,0.3545000000000016,-0.04954261739277823,1.5560000000000116,13.0,2022,Melbourne,False
55,LAT,Williams,18.0,16.0,+1 Lap,85.09899999999999,0.3889999999999958,-0.0552369391179909,3.504000000000005,19.0,2022,Melbourne,False
56,ALO,Alpine,10.0,17.0,+1 Lap,84.83250000000001,0.32550000000000523,0.21641258741258637,0.9470000000000027,10.0,2022,Melbourne,False
57,VER,Red Bull Racing,2.0,18.0,Fuel leak,83.754,0.9489999999999981,-0.06052941176470764,0.28600000000000136,2.0,2022,Melbourne,False
58,VET,Aston Martin,17.0,19.0,Accident,86.074,1.108000000000004,,3.281000000000006,18.0,2022,Melbourne,False
59,SAI,Ferrari,9.0,20.0,Spun off,99.028,16.7675,,1.5400000000000063,9.0,2022,Melbourne,False
60,VER,Red Bull Racing,1.0,1.0,Finished,80.793,-0.387999999999991,-0.0383978594761516,9.009,1.0,2022,Imola,False
61,PER,Red Bull Racing,3.0,2.0,Finished,81.181,0.387999999999991,-0.04451766138272538,10.818000000000012,7.0,2022,Imola,False
62,NOR,McLaren,5.0,3.0,Finished,81.735,-1.159000000000006,-0.048597621889921755,10.141000000000005,3.0,2022,Imola,False
63,RUS,Mercedes,11.0,4.0,Finished,81.823,-0.717000000000013,-0.06034825038437536,1.7670000000000101,11.0,2022,Imola,False
64,BOT,Alfa Romeo,7.0,5.0,Finished,81.488,-0.9705000000000013,-0.06845747679517296,11.448999999999998,8.0,2022,Imola,False
65,LEC,Ferrari,2.0,6.0,Finished,81.08,,-0.09351018492799393,9.788000000000011,2.0,2022,Imola,False
66,TSU,AlphaTauri,12.0,7.0,Finished,81.658,-0.7409999999999997,-0.08210591468642812,1.4840000000000089,16.0,2022,Imola,False
67,VET,Aston Martin,13.0,8.0,Finished,82.145,-0.15400000000001057,-0.08779921333704323,12.072000000000003,9.0,2022,Imola,False
68,MAG,Haas F1 Team,8.0,9.0,Finished,82.158,0.016999999999995907,-0.06616019873583619,10.174000000000007,4.0,2022,Imola,False
69,STR,Aston Martin,15.0,10.0,+1 Lap,82.299,0.15400000000001057,-0.0553391520565348,9.129000000000005,15.0,2022,Imola,False
70,ALB,Williams,18.0,11.0,+1 Lap,82.389,-0.3335000000000008,-0.07481719220360616,,20.0,2022,Imola,False
71,GAS,AlphaTauri,17.0,12.0,+1 Lap,82.399,0.7409999999999997,-0.08671433621187778,1.7420000000000044,17.0,2022,Imola,False
72,HAM,Mercedes,14.0,13.0,+1 Lap,82.54,0.717000000000013,-0.05260606892126355,2.1480000000000103,13.0,2022,Imola,False
73,OCO,Alpine,16.0,14.0,+1 Lap,82.292,-17.393,-0.05658616002262677,3.347999999999999,19.0,2022,Imola,False
74,ZHO,Alfa Romeo,0.0,15.0,+1 Lap,82.4585,0.9705000000000013,-0.08443438992209036,2.4440000000000026,14.0,2022,Imola,False
75,LAT,Williams,19.0,16.0,+1 Lap,82.7225,0.3335000000000008,-0.08887322112968099,2.9810000000000088,18.0,2022,Imola,False
76,MSC,Haas F1 Team,10.0,17.0,+1 Lap,82.141,-0.016999999999995907,-0.06497647181836146,1.926000000000002,12.0,2022,Imola,False
77,RIC,McLaren,6.0,18.0,+1 Lap,82.894,1.159000000000006,-0.11903802795124373,10.75200000000001,6.0,2022,Imola,False
78,ALO,Alpine,9.0,19.0,Collision damage,99.685,17.393,,10.212000000000003,5.0,2022,Imola,False
79,SAI,Ferrari,4.0,20.0,Collision,,,,0.0,10.0,2022,Imola,False
80,VER,Red Bull Racing,3.0,1.0,Finished,93.275,-0.7479999999999905,-0.048708647888792,0.19499999999999318,3.0,2022,Miami,False
81,LEC,Ferrari,1.0,2.0,Finished,93.155,-0.7099999999999937,-0.035001242995813676,0.0,1.0,2022,Miami,False
82,SAI,Ferrari,2.0,3.0,Finished,93.865,0.7099999999999937,-0.04673982316907805,0.18999999999999773,2.0,2022,Miami,False
83,PER,Red Bull Racing,4.0,4.0,Finished,94.023,0.7479999999999905,-0.025503062569718966,0.23999999999999488,4.0,2022,Miami,False
84,RUS,Mercedes,12.0,5.0,Finished,94.5025,0.069500000000005,-0.1086339113680146,1.3769999999999953,12.0,2022,Miami,False
85,HAM,Mercedes,6.0,6.0,Finished,94.43299999999999,-0.069500000000005,-0.014161753241589905,0.8289999999999935,6.0,2022,Miami,False
86,BOT,Alfa Romeo,5.0,7.0,Finished,94.4625,-2.264499999999998,0.003075989171749883,0.6789999999999878,5.0,2022,Miami,False
87,OCO,Alpine,20.0,8.0,Finished,94.979,0.04999999999999716,-0.1149980732177255,,20.0,2022,Miami,False
